schoolName,schoolType,schoolAddress,schoolCity,schoolState
British International School Lagos,secondary,1 Landbridge Avenue Oniru Private Estate Victoria Island,ikeja,Lagos
Brookstone Secondary School,secondary,International Airport Road Igwuruta Port Harcourt Rivers Nigeria,Igwuruta,Rivers
Effective International College,secondary,University of Ilorin Road Tanke Ilorin Kwara Nigeria,Ilorin,Kwara Nigeria
Emmanuel International College,secondary,Opposite Government House Rayfield Jos Plateau Nigeria,Jos,Plateau
Federal Government College Enugu,secondary,Independence Layout Enugu Enugu Nigeria,Enugu,Enugu
GOF International College,secondary,Onward Estate Gbongan/Ibadan Road Osogbo Osun Nigeria,Osogbo,Osun
British International School Lagos,secondary,ikeja Lagos,ikeja,Lagos
Homaj International Secondary School,secondary,Itanla Akure Road Akure Ondo State Nigeria,Akure,Ondo
King's College Lagos,secondary,3 Catholic Mission Lagos Island Lagos Nigeria,Lagos Island,Lagos
Pearlville School,secondary,1 Pearlville Avenue Avu-Owerri Owerri Imo State Nigeria,Owerri,Imo
